"S21 POLAR"
"Frequency (Hz)","U","U",
3870563143.0187, 3.027932e-004, 6.475191e-004, 
3870629468.8525, 2.995642e-004, 6.365993e-004, 
3870695794.6863, 3.000055e-004, 6.544863e-004, 
3870762120.5201, 3.026027e-004, 6.548947e-004, 
3870828446.3539, 3.027803e-004, 6.512730e-004, 
3870894772.1877, 3.037685e-004, 6.527458e-004, 
3870961098.0215, 3.090310e-004, 6.547499e-004, 
3871027423.8553, 2.991363e-004, 6.574734e-004, 
3871093749.6891, 3.071779e-004, 6.633230e-004, 
3871160075.5229, 3.022790e-004, 6.630283e-004, 
3871226401.3567, 3.016374e-004, 6.504948e-004, 
3871292727.1905, 3.021373e-004, 6.536727e-004, 
3871359053.0243, 3.058395e-004, 6.599709e-004, 
3871425378.8581, 2.981639e-004, 6.553959e-004, 
3871491704.6919, 3.102611e-004, 6.657348e-004, 
3871558030.5257, 3.066391e-004, 6.678837e-004, 
3871624356.3595, 3.053450e-004, 6.611528e-004, 
3871690682.1933, 3.102138e-004, 6.693313e-004, 
3871757008.0271, 3.097549e-004, 6.708518e-004, 
3871823333.8609, 3.088165e-004, 6.811305e-004, 
3871889659.6947, 3.046918e-004, 6.752693e-004, 
3871955985.5285, 3.104463e-004, 6.684728e-004, 
3872022311.3624, 3.127985e-004, 6.760824e-004, 
3872088637.1962, 3.151049e-004, 6.818802e-004, 
3872154963.03, 3.133944e-004, 6.773534e-004, 
3872221288.8638, 3.124701e-004, 6.833629e-004, 
3872287614.6976, 3.109636e-004, 6.851057e-004, 
3872353940.5314, 3.168117e-004, 6.880586e-004, 
3872420266.3652, 3.043550e-004, 6.899201e-004, 
3872486592.199, 3.196645e-004, 6.879032e-004, 
3872552918.0328, 3.122257e-004, 6.923504e-004, 
3872619243.8666, 3.084008e-004, 6.861679e-004, 
3872685569.7004, 3.103478e-004, 6.960401e-004, 
3872751895.5342, 3.206457e-004, 6.933396e-004, 
3872818221.368, 3.244262e-004, 7.097121e-004, 
3872884547.2018, 3.148692e-004, 6.937475e-004, 
3872950873.0356, 3.202534e-004, 7.025946e-004, 
3873017198.8694, 3.174162e-004, 6.978596e-004, 
3873083524.7032, 3.124930e-004, 7.026285e-004, 
3873149850.537, 3.159132e-004, 7.044169e-004, 
3873216176.3708, 3.234246e-004, 7.011244e-004, 
3873282502.2046, 3.164216e-004, 7.088822e-004, 
3873348828.0384, 3.272189e-004, 7.107450e-004, 
3873415153.8722, 3.286664e-004, 7.104520e-004, 
3873481479.706, 3.249488e-004, 7.146131e-004, 
3873547805.5399, 3.187241e-004, 7.088885e-004, 
3873614131.3737, 3.144053e-004, 7.215052e-004, 
3873680457.2075, 3.170009e-004, 7.267393e-004, 
3873746783.0413, 3.216628e-004, 7.237031e-004, 
3873813108.8751, 3.186446e-004, 7.259710e-004, 
3873879434.7089, 3.213251e-004, 7.166054e-004, 
3873945760.5427, 3.202982e-004, 7.318236e-004, 
3874012086.3765, 3.246070e-004, 7.329274e-004, 
3874078412.2103, 3.216983e-004, 7.288679e-004, 
3874144738.0441, 3.210495e-004, 7.246168e-004, 
3874211063.8779, 3.272168e-004, 7.226709e-004, 
3874277389.7117, 3.270737e-004, 7.368184e-004, 
3874343715.5455, 3.336453e-004, 7.251211e-004, 
3874410041.3793, 3.306603e-004, 7.332574e-004, 
3874476367.2131, 3.271326e-004, 7.351129e-004, 
3874542693.0469, 3.358599e-004, 7.336143e-004, 
3874609018.8807, 3.314569e-004, 7.330562e-004, 
3874675344.7145, 3.305975e-004, 7.356292e-004, 
3874741670.5483, 3.313306e-004, 7.477782e-004, 
3874807996.3821, 3.424487e-004, 7.462348e-004, 
3874874322.2159, 3.243597e-004, 7.446022e-004, 
3874940648.0497, 3.327929e-004, 7.357216e-004, 
3875006973.8835, 3.404786e-004, 7.568622e-004, 
3875073299.7174, 3.389163e-004, 7.479003e-004, 
3875139625.5512, 3.425280e-004, 7.550805e-004, 
3875205951.385, 3.496498e-004, 7.452534e-004, 
3875272277.2188, 3.490056e-004, 7.441312e-004, 
3875338603.0526, 3.367528e-004, 7.577371e-004, 
3875404928.8864, 3.505974e-004, 7.549258e-004, 
3875471254.7202, 3.471508e-004, 7.544172e-004, 
3875537580.554, 3.456086e-004, 7.476951e-004, 
3875603906.3878, 3.435069e-004, 7.558549e-004, 
3875670232.2216, 3.434090e-004, 7.502530e-004, 
3875736558.0554, 3.443702e-004, 7.642177e-004, 
3875802883.8892, 3.468559e-004, 7.578058e-004, 
3875869209.723, 3.533943e-004, 7.650070e-004, 
3875935535.5568, 3.456504e-004, 7.746927e-004, 
3876001861.3906, 3.407210e-004, 7.662150e-004, 
3876068187.2244, 3.436875e-004, 7.710065e-004, 
3876134513.0582, 3.505793e-004, 7.615516e-004, 
3876200838.892, 3.530775e-004, 7.745565e-004, 
3876267164.7258, 3.546009e-004, 7.775381e-004, 
3876333490.5596, 3.567101e-004, 7.763391e-004, 
3876399816.3934, 3.600771e-004, 7.801835e-004, 
3876466142.2272, 3.569031e-004, 7.819053e-004, 
3876532468.0611, 3.604554e-004, 7.765123e-004, 
3876598793.8949, 3.572596e-004, 7.777544e-004, 
3876665119.7287, 3.694917e-004, 7.804524e-004, 
3876731445.5625, 3.665636e-004, 7.730985e-004, 
3876797771.3963, 3.629492e-004, 7.885635e-004, 
3876864097.2301, 3.652902e-004, 7.837308e-004, 
3876930423.0639, 3.713245e-004, 8.033240e-004, 
3876996748.8977, 3.627918e-004, 7.872974e-004, 
3877063074.7315, 3.674853e-004, 7.826926e-004, 
3877129400.5653, 3.676278e-004, 7.866564e-004, 
3877195726.3991, 3.649252e-004, 7.934464e-004, 
3877262052.2329, 3.539501e-004, 7.926589e-004, 
3877328378.0667, 3.684911e-004, 7.905501e-004, 
3877394703.9005, 3.743157e-004, 7.950872e-004, 
3877461029.7343, 3.748146e-004, 7.996606e-004, 
3877527355.5681, 3.685367e-004, 8.012404e-004, 
3877593681.4019, 3.697820e-004, 7.968862e-004, 
3877660007.2357, 3.695022e-004, 8.077479e-004, 
3877726333.0695, 3.694836e-004, 8.086655e-004, 
3877792658.9033, 3.719184e-004, 8.075431e-004, 
3877858984.7371, 3.827350e-004, 8.178942e-004, 
3877925310.5709, 3.882823e-004, 8.058966e-004, 
3877991636.4047, 3.787562e-004, 8.200538e-004, 
3878057962.2386, 3.826942e-004, 8.097198e-004, 
3878124288.0724, 3.850895e-004, 8.146972e-004, 
3878190613.9062, 3.740781e-004, 8.099098e-004, 
3878256939.74, 3.861089e-004, 8.316766e-004, 
3878323265.5738, 3.833319e-004, 8.156314e-004, 
3878389591.4076, 3.895811e-004, 8.249394e-004, 
3878455917.2414, 3.847881e-004, 8.233612e-004, 
3878522243.0752, 3.844370e-004, 8.287863e-004, 
3878588568.909, 3.896516e-004, 8.233485e-004, 
3878654894.7428, 3.922180e-004, 8.349194e-004, 
3878721220.5766, 3.924904e-004, 8.316725e-004, 
3878787546.4104, 3.919629e-004, 8.280700e-004, 
3878853872.2442, 4.012176e-004, 8.360171e-004, 
3878920198.078, 4.022780e-004, 8.349417e-004, 
3878986523.9118, 3.893570e-004, 8.309746e-004, 
3879052849.7456, 3.935863e-004, 8.375922e-004, 
3879119175.5794, 3.937203e-004, 8.314573e-004, 
3879185501.4132, 3.965231e-004, 8.399265e-004, 
3879251827.247, 4.028942e-004, 8.409746e-004, 
3879318153.0808, 3.971690e-004, 8.417313e-004, 
3879384478.9146, 3.991076e-004, 8.454677e-004, 
3879450804.7484, 4.036464e-004, 8.587161e-004, 
3879517130.5822, 4.104980e-004, 8.384738e-004, 
3879583456.4161, 4.148396e-004, 8.414903e-004, 
3879649782.2499, 4.114942e-004, 8.528542e-004, 
3879716108.0837, 4.069549e-004, 8.466682e-004, 
3879782433.9175, 4.087065e-004, 8.484049e-004, 
3879848759.7513, 4.183606e-004, 8.531311e-004, 
