"S22 POLAR"
"Frequency (Hz)","U","U",
3870563143.0187, 3.122263e-001, -1.040703e+000, 
3870629468.8525, 3.120752e-001, -1.041087e+000, 
3870695794.6863, 3.118342e-001, -1.041360e+000, 
3870762120.5201, 3.115730e-001, -1.041682e+000, 
3870828446.3539, 3.113342e-001, -1.041900e+000, 
3870894772.1877, 3.110462e-001, -1.042128e+000, 
3870961098.0215, 3.108231e-001, -1.042316e+000, 
3871027423.8553, 3.105378e-001, -1.042452e+000, 
3871093749.6891, 3.102559e-001, -1.042561e+000, 
3871160075.5229, 3.101190e-001, -1.042653e+000, 
3871226401.3567, 3.098935e-001, -1.042681e+000, 
3871292727.1905, 3.101214e-001, -1.042480e+000, 
3871359053.0243, 3.102475e-001, -1.042288e+000, 
3871425378.8581, 3.105225e-001, -1.042064e+000, 
3871491704.6919, 3.107530e-001, -1.041872e+000, 
3871558030.5257, 3.109465e-001, -1.041614e+000, 
3871624356.3595, 3.112214e-001, -1.041496e+000, 
3871690682.1933, 3.114304e-001, -1.041302e+000, 
3871757008.0271, 3.116154e-001, -1.041215e+000, 
3871823333.8609, 3.118369e-001, -1.041013e+000, 
3871889659.6947, 3.121521e-001, -1.040893e+000, 
3871955985.5285, 3.123331e-001, -1.040748e+000, 
3872022311.3624, 3.126251e-001, -1.040609e+000, 
3872088637.1962, 3.128259e-001, -1.040634e+000, 
3872154963.03, 3.130434e-001, -1.040489e+000, 
3872221288.8638, 3.133208e-001, -1.040458e+000, 
3872287614.6976, 3.131475e-001, -1.040727e+000, 
3872353940.5314, 3.128389e-001, -1.041106e+000, 
3872420266.3652, 3.124994e-001, -1.041465e+000, 
3872486592.199, 3.122020e-001, -1.041714e+000, 
3872552918.0328, 3.117581e-001, -1.042017e+000, 
3872619243.8666, 3.115881e-001, -1.042362e+000, 
3872685569.7004, 3.113132e-001, -1.042607e+000, 
3872751895.5342, 3.110841e-001, -1.042779e+000, 
3872818221.368, 3.107941e-001, -1.043020e+000, 
3872884547.2018, 3.106478e-001, -1.043233e+000, 
3872950873.0356, 3.103390e-001, -1.043466e+000, 
3873017198.8694, 3.102068e-001, -1.043611e+000, 
3873083524.7032, 3.100323e-001, -1.043738e+000, 
3873149850.537, 3.098456e-001, -1.043890e+000, 
3873216176.3708, 3.096489e-001, -1.044036e+000, 
3873282502.2046, 3.097349e-001, -1.044012e+000, 
3873348828.0384, 3.098382e-001, -1.044049e+000, 
3873415153.8722, 3.100492e-001, -1.044135e+000, 
3873481479.706, 3.101115e-001, -1.044075e+000, 
3873547805.5399, 3.102519e-001, -1.044137e+000, 
3873614131.3737, 3.104112e-001, -1.044102e+000, 
3873680457.2075, 3.105991e-001, -1.044032e+000, 
3873746783.0413, 3.108002e-001, -1.044007e+000, 
3873813108.8751, 3.109396e-001, -1.043909e+000, 
3873879434.7089, 3.110792e-001, -1.043926e+000, 
3873945760.5427, 3.112997e-001, -1.043795e+000, 
3874012086.3765, 3.114811e-001, -1.043722e+000, 
3874078412.2103, 3.117011e-001, -1.043651e+000, 
3874144738.0441, 3.118559e-001, -1.043500e+000, 
3874211063.8779, 3.120700e-001, -1.043409e+000, 
3874277389.7117, 3.120832e-001, -1.043255e+000, 
3874343715.5455, 3.120293e-001, -1.043040e+000, 
3874410041.3793, 3.119478e-001, -1.042942e+000, 
3874476367.2131, 3.118261e-001, -1.042858e+000, 
3874542693.0469, 3.118199e-001, -1.042697e+000, 
3874609018.8807, 3.116078e-001, -1.042590e+000, 
3874675344.7145, 3.115234e-001, -1.042489e+000, 
3874741670.5483, 3.114954e-001, -1.042404e+000, 
3874807996.3821, 3.113856e-001, -1.042241e+000, 
3874874322.2159, 3.113998e-001, -1.042164e+000, 
3874940648.0497, 3.112785e-001, -1.042074e+000, 
3875006973.8835, 3.112176e-001, -1.042095e+000, 
3875073299.7174, 3.110958e-001, -1.042069e+000, 
3875139625.5512, 3.110469e-001, -1.042004e+000, 
3875205951.385, 3.109994e-001, -1.042009e+000, 
3875272277.2188, 3.110307e-001, -1.041991e+000, 
3875338603.0526, 3.111010e-001, -1.042067e+000, 
3875404928.8864, 3.112468e-001, -1.042196e+000, 
3875471254.7202, 3.112773e-001, -1.042385e+000, 
3875537580.554, 3.113961e-001, -1.042471e+000, 
3875603906.3878, 3.115157e-001, -1.042610e+000, 
3875670232.2216, 3.115758e-001, -1.042755e+000, 
3875736558.0554, 3.116958e-001, -1.042892e+000, 
3875802883.8892, 3.118649e-001, -1.043064e+000, 
3875869209.723, 3.119582e-001, -1.043273e+000, 
3875935535.5568, 3.121000e-001, -1.043471e+000, 
3876001861.3906, 3.122229e-001, -1.043624e+000, 
3876068187.2244, 3.124157e-001, -1.043863e+000, 
3876134513.0582, 3.125624e-001, -1.044117e+000, 
3876200838.892, 3.127013e-001, -1.044279e+000, 
3876267164.7258, 3.126727e-001, -1.044661e+000, 
3876333490.5596, 3.124136e-001, -1.045179e+000, 
3876399816.3934, 3.121040e-001, -1.045673e+000, 
3876466142.2272, 3.118386e-001, -1.046114e+000, 
3876532468.0611, 3.116623e-001, -1.046490e+000, 
3876598793.8949, 3.114575e-001, -1.046836e+000, 
3876665119.7287, 3.112944e-001, -1.047094e+000, 
3876731445.5625, 3.111014e-001, -1.047357e+000, 
3876797771.3963, 3.109767e-001, -1.047528e+000, 
3876864097.2301, 3.108693e-001, -1.047701e+000, 
3876930423.0639, 3.108133e-001, -1.047767e+000, 
3876996748.8977, 3.107630e-001, -1.047795e+000, 
3877063074.7315, 3.107563e-001, -1.047829e+000, 
3877129400.5653, 3.108147e-001, -1.047872e+000, 
3877195726.3991, 3.108247e-001, -1.047756e+000, 
3877262052.2329, 3.110984e-001, -1.047485e+000, 
3877328378.0667, 3.117548e-001, -1.046744e+000, 
3877394703.9005, 3.122745e-001, -1.046084e+000, 
3877461029.7343, 3.128764e-001, -1.045402e+000, 
3877527355.5681, 3.133223e-001, -1.044769e+000, 
3877593681.4019, 3.137218e-001, -1.044233e+000, 
3877660007.2357, 3.141020e-001, -1.043715e+000, 
3877726333.0695, 3.145045e-001, -1.043184e+000, 
3877792658.9033, 3.147812e-001, -1.042808e+000, 
