"S21 POLAR"
"Frequency (Hz)","U","U",
300000, 1.756715e-006, -3.507477e-005, 
899985, -3.687567e-006, 9.321374e-006, 
1499970, -2.340724e-005, 4.880022e-005, 
2099955, -1.411973e-006, 2.354262e-005, 
2699940, -2.502406e-005, -2.880977e-005, 
3299925, -4.719417e-006, 2.227178e-005, 
3899910, -1.336315e-005, 2.590338e-005, 
4499895, -1.178138e-005, 1.728334e-005, 
5099880, 5.681263e-006, 1.426805e-005, 
5699865, 1.198139e-005, 1.441862e-005, 
6299850, -4.023816e-006, 2.509834e-005, 
6899835, -1.846071e-005, 2.977834e-005, 
7499820, -1.271179e-005, 3.023766e-005, 
8099805, -4.119624e-006, 4.612940e-005, 
8699790, -1.015241e-006, 4.048799e-005, 
9299775, -7.954296e-006, 4.399713e-005, 
9899760, -2.550321e-005, 5.574376e-005, 
10499745, 2.235506e-005, 2.352151e-005, 
11099730, 8.531365e-006, 4.772591e-005, 
11699715, 3.323465e-006, 4.674326e-005, 
12299700, 5.131950e-006, 4.355372e-005, 
12899685, 5.564555e-006, 5.154352e-005, 
13499670, 1.549805e-005, 5.890533e-005, 
14099655, -7.332558e-006, 5.385950e-005, 
14699640, 9.828471e-006, 6.613242e-005, 
15299625, 1.144502e-005, 6.439355e-005, 
15899610, 3.910195e-005, 6.379271e-005, 
16499595, -8.801710e-006, 6.354260e-005, 
17099580, 7.204171e-006, 9.298301e-005, 
17699565, 2.055060e-005, 7.625376e-005, 
18299550, -5.798953e-006, 9.183840e-005, 
18899535, -3.308247e-006, 8.171424e-005, 
19499520, -1.667724e-005, 8.156350e-005, 
20099505, 1.329291e-005, 8.226647e-005, 
20699490, 1.380789e-006, 1.203279e-004, 
21299475, -8.410286e-006, 1.058183e-004, 
21899460, 2.193219e-005, 8.312967e-005, 
22499445, -9.433878e-006, 7.663159e-005, 
23099430, -6.924462e-006, 1.021545e-004, 
23699415, 7.060135e-008, 1.056553e-004, 
24299400, 6.940719e-006, 1.142546e-004, 
24899385, -5.991782e-006, 9.912987e-005, 
25499370, 1.193217e-005, 1.213194e-004, 
26099355, 5.021760e-006, 1.330086e-004, 
26699340, 1.055531e-005, 1.171643e-004, 
27299325, -3.249823e-006, 1.100617e-004, 
27899310, 8.417239e-006, 1.439431e-004, 
28499295, 2.698722e-005, 1.247152e-004, 
29099280, 1.956583e-005, 1.323087e-004, 
29699265, -1.034016e-005, 1.107141e-004, 
30299250, -5.238045e-007, 1.310694e-004, 
30899235, -2.699891e-006, 1.320658e-004, 
31499220, 3.980493e-006, 1.407858e-004, 
32099205, -5.201570e-006, 1.279834e-004, 
32699190, 3.781109e-005, 1.432603e-004, 
33299175, -8.966729e-006, 1.238859e-004, 
33899160, -3.378446e-006, 1.481713e-004, 
34499145, -9.949315e-006, 1.454067e-004, 
35099130, 1.052529e-005, 1.512679e-004, 
35699115, 4.246156e-005, 1.405062e-004, 
36299100, -9.394053e-006, 1.439229e-004, 
36899085, 1.829247e-005, 1.789031e-004, 
37499070, 1.581024e-005, 1.579509e-004, 
38099055, 1.887420e-005, 1.597652e-004, 
38699040, -6.045685e-006, 1.759288e-004, 
39299025, -1.072944e-005, 1.748852e-004, 
39899010, -5.912226e-006, 1.788647e-004, 
40498995, 5.931914e-005, 1.746224e-004, 
41098980, -2.545412e-005, 2.199424e-004, 
41698965, -4.482232e-008, 1.692228e-004, 
42298950, -5.230084e-006, 1.837911e-004, 
42898935, -1.428618e-005, 2.000479e-004, 
43498920, -1.068180e-005, 1.550415e-004, 
44098905, -4.359095e-005, 1.849058e-004, 
44698890, 1.447288e-005, 1.600772e-004, 
45298875, -1.265185e-005, 1.881901e-004, 
45898860, 1.771198e-005, 1.911025e-004, 
46498845, 3.744968e-006, 1.740352e-004, 
47098830, -1.910595e-005, 2.039961e-004, 
47698815, 4.367128e-005, 1.978858e-004, 
48298800, -9.662064e-007, 1.980494e-004, 
48898785, 3.413256e-005, 1.985266e-004, 
49498770, 3.649512e-006, 2.256086e-004, 
50098755, -2.559756e-005, 2.277904e-004, 
50698740, 2.375910e-006, 2.084434e-004, 
51298725, -5.736377e-006, 2.245925e-004, 
51898710, 4.985910e-006, 2.096797e-004, 
52498695, 3.528776e-006, 2.218312e-004, 
53098680, 6.333200e-006, 2.422838e-004, 
53698665, 1.890431e-005, 2.545685e-004, 
54298650, 1.241108e-005, 2.729995e-004, 
54898635, 2.056165e-005, 2.456423e-004, 
55498620, -1.173425e-005, 2.160788e-004, 
56098605, -1.612069e-005, 2.280675e-004, 
56698590, -2.963756e-005, 2.593444e-004, 
57298575, 2.226795e-005, 2.812816e-004, 
57898560, 1.811521e-005, 2.469165e-004, 
58498545, 9.972898e-006, 2.487874e-004, 
59098530, -1.597176e-005, 2.680522e-004, 
59698515, 5.942853e-006, 2.743017e-004, 
60298500, -1.401959e-006, 2.347566e-004, 
60898485, -3.462312e-006, 2.743352e-004, 
61498470, 1.987276e-007, 2.487715e-004, 
62098455, -2.163335e-005, 2.778636e-004, 
62698440, -9.856926e-008, 2.594713e-004, 
63298425, -1.000825e-005, 2.952279e-004, 
63898410, -1.324313e-005, 3.097864e-004, 
64498395, 5.950409e-005, 2.916151e-004, 
65098380, 1.500548e-005, 3.005298e-004, 
65698365, 2.109168e-005, 3.329370e-004, 
66298350, 7.485356e-006, 3.090700e-004, 
66898335, 1.538134e-006, 2.435761e-004, 
67498320, 5.424522e-006, 3.446720e-004, 
68098305, 2.918682e-005, 3.003941e-004, 
68698290, 2.001508e-005, 2.642429e-004, 
69298275, 1.182179e-005, 3.118726e-004, 
69898260, -2.198055e-006, 2.726323e-004, 
70498245, -1.391351e-005, 3.364592e-004, 
71098230, 3.525732e-005, 2.941964e-004, 
71698215, 2.803062e-005, 3.511246e-004, 
72298200, 5.274660e-005, 3.201022e-004, 
72898185, 2.869625e-005, 2.706439e-004, 
73498170, 6.576357e-006, 3.203780e-004, 
74098155, -5.050333e-006, 3.129325e-004, 
74698140, 2.319045e-005, 2.851022e-004, 
75298125, -2.848472e-006, 3.477306e-004, 
75898110, -3.453952e-005, 2.883502e-004, 
76498095, 2.910605e-005, 3.473785e-004, 
77098080, 9.067683e-006, 3.503499e-004, 
77698065, 2.162976e-005, 3.907213e-004, 
78298050, 1.056597e-005, 3.387103e-004, 
78898035, 5.474838e-005, 3.129907e-004, 
79498020, 1.430983e-005, 2.967319e-004, 
80098005, 5.838472e-006, 3.809447e-004, 
80697990, 2.649225e-005, 3.779897e-004, 
81297975, -1.504303e-005, 3.311031e-004, 
81897960, 2.278665e-005, 3.257797e-004, 
82497945, 1.430018e-005, 3.681459e-004, 
83097930, 4.090390e-005, 3.888498e-004, 
83697915, 2.594613e-005, 3.399522e-004, 
84297900, 1.869147e-005, 3.906759e-004, 
84897885, -2.056830e-005, 3.752993e-004, 
85497870, 9.641491e-006, 3.827965e-004, 
86097855, 3.745973e-005, 3.607104e-004, 
86697840, 6.491561e-005, 3.755828e-004, 
