"S12 POLAR"
"Frequency (Hz)","U","U",
300000, -3.926685e-005, -4.986747e-005, 
899985, -2.558014e-005, -3.420406e-005, 
1499970, 1.256565e-004, 8.810205e-005, 
2099955, 3.595127e-005, 2.472958e-005, 
2699940, -6.530721e-005, -3.121455e-005, 
3299925, -2.516414e-005, 7.462675e-005, 
3899910, -3.469070e-005, 8.847962e-005, 
4499895, 6.466716e-007, 8.151114e-005, 
5099880, -2.492396e-005, 1.113367e-004, 
5699865, -3.752260e-005, 8.115653e-005, 
6299850, 1.205938e-005, 6.774780e-005, 
6899835, -2.985829e-005, 1.191575e-004, 
7499820, -1.215994e-005, 7.411524e-005, 
8099805, 7.401519e-006, 1.489607e-004, 
8699790, -1.438197e-005, 8.615317e-005, 
9299775, 6.222129e-005, 1.003348e-004, 
9899760, 1.831644e-006, 1.419262e-004, 
10499745, -1.539693e-006, 1.470764e-004, 
11099730, 3.637805e-005, 1.547565e-004, 
11699715, -1.564613e-005, 1.673055e-004, 
12299700, 8.583831e-006, 1.440636e-004, 
12899685, -2.886756e-005, 2.134134e-004, 
13499670, -2.947694e-006, 1.794643e-004, 
14099655, 2.093920e-005, 2.794434e-004, 
14699640, 4.563079e-005, 1.829353e-004, 
15299625, -4.447472e-005, 1.769846e-004, 
15899610, -3.975387e-005, 2.152163e-004, 
16499595, -8.615531e-006, 2.338038e-004, 
17099580, -3.392904e-005, 2.730255e-004, 
17699565, -3.293938e-006, 2.460762e-004, 
18299550, 1.343510e-005, 1.887247e-004, 
18899535, -6.563604e-006, 2.319497e-004, 
19499520, -4.347221e-005, 2.281495e-004, 
20099505, -6.051360e-005, 2.542690e-004, 
20699490, -6.236906e-005, 3.315578e-004, 
21299475, -4.291057e-005, 2.925050e-004, 
21899460, 5.737226e-005, 3.256257e-004, 
22499445, 4.966992e-005, 2.998906e-004, 
23099430, -2.283751e-005, 2.968321e-004, 
23699415, -1.034194e-005, 3.373716e-004, 
24299400, 3.826921e-005, 3.691500e-004, 
24899385, 3.060455e-005, 3.265840e-004, 
25499370, 6.298807e-005, 3.225346e-004, 
26099355, -6.398531e-005, 3.687626e-004, 
26699340, 6.524705e-006, 3.844181e-004, 
27299325, 1.972410e-005, 3.855916e-004, 
27899310, 2.483281e-005, 3.539980e-004, 
28499295, 2.849854e-006, 3.748587e-004, 
29099280, 1.883470e-005, 3.472317e-004, 
29699265, 1.299883e-006, 3.684759e-004, 
30299250, -3.282665e-005, 4.023065e-004, 
30899235, 6.469402e-006, 4.451067e-004, 
31499220, 2.009264e-006, 4.632101e-004, 
32099205, -2.258747e-005, 4.341968e-004, 
32699190, 2.223797e-006, 4.640633e-004, 
33299175, -3.414203e-005, 4.615975e-004, 
33899160, -3.591530e-005, 4.875389e-004, 
34499145, -9.754804e-006, 5.314133e-004, 
35099130, 5.312645e-005, 4.886265e-004, 
35699115, 8.472543e-005, 4.744581e-004, 
36299100, 6.599831e-005, 5.331538e-004, 
36899085, -4.094105e-006, 4.939278e-004, 
37499070, -1.589859e-005, 5.205774e-004, 
38099055, 2.539450e-005, 5.549350e-004, 
38699040, 4.590762e-005, 5.539412e-004, 
39299025, 5.341118e-005, 5.518955e-004, 
39899010, 7.164689e-005, 5.055578e-004, 
40498995, 5.148679e-005, 5.509970e-004, 
41098980, 4.598344e-005, 5.321070e-004, 
41698965, 8.410311e-005, 5.236685e-004, 
42298950, 2.892546e-005, 6.750480e-004, 
42898935, -6.452620e-006, 5.932065e-004, 
43498920, 2.047899e-005, 6.285983e-004, 
44098905, 6.570952e-005, 6.279364e-004, 
44698890, 5.248654e-005, 6.769181e-004, 
45298875, 4.898630e-005, 6.260080e-004, 
45898860, 6.757756e-005, 6.322860e-004, 
46498845, 6.012611e-006, 5.181069e-004, 
47098830, 6.378452e-005, 5.886772e-004, 
47698815, 8.218337e-005, 5.032894e-004, 
48298800, 1.068832e-004, 6.890269e-004, 
48898785, 1.251314e-004, 5.912100e-004, 
49498770, 2.604070e-005, 6.630933e-004, 
50098755, 7.634068e-005, 6.523205e-004, 
50698740, 1.636682e-005, 6.425818e-004, 
51298725, 4.932865e-005, 6.875342e-004, 
51898710, -1.686608e-005, 6.012017e-004, 
52498695, 6.514350e-005, 7.721912e-004, 
53098680, 9.569633e-006, 6.626048e-004, 
53698665, 2.625204e-005, 6.239658e-004, 
54298650, 5.071239e-005, 7.387565e-004, 
54898635, 1.588326e-006, 7.836985e-004, 
55498620, 1.772595e-005, 8.314081e-004, 
56098605, 7.578602e-005, 6.422894e-004, 
56698590, 9.332146e-005, 7.022290e-004, 
57298575, 1.744954e-004, 6.923631e-004, 
57898560, 5.296610e-005, 7.307433e-004, 
58498545, 1.687333e-004, 7.824866e-004, 
59098530, 8.368966e-005, 5.887413e-004, 
59698515, 1.158806e-004, 7.902792e-004, 
60298500, 8.577642e-005, 6.998674e-004, 
60898485, 1.016643e-004, 9.261855e-004, 
61498470, 9.032117e-005, 8.838967e-004, 
62098455, -7.427440e-006, 1.024560e-003, 
62698440, 2.141331e-005, 8.897050e-004, 
63298425, 5.883460e-005, 9.790057e-004, 
63898410, 1.417748e-004, 8.514535e-004, 
64498395, -1.302394e-005, 8.015587e-004, 
65098380, -6.159578e-005, 8.729187e-004, 
65698365, 4.151888e-005, 8.879212e-004, 
66298350, -4.015294e-005, 8.694227e-004, 
66898335, 1.383009e-006, 9.525853e-004, 
67498320, 1.833147e-004, 8.545106e-004, 
68098305, 1.155709e-004, 9.202027e-004, 
68698290, 9.941594e-005, 9.275447e-004, 
69298275, -3.314478e-005, 1.035000e-003, 
69898260, 9.854107e-005, 9.862089e-004, 
70498245, 5.202453e-005, 1.015635e-003, 
71098230, 7.571796e-005, 9.968394e-004, 
71698215, 5.254041e-005, 1.057576e-003, 
72298200, 1.132317e-004, 1.040258e-003, 
72898185, 6.907081e-005, 1.025931e-003, 
73498170, 1.094701e-004, 1.023159e-003, 
74098155, 9.976605e-005, 9.906485e-004, 
74698140, 1.101978e-004, 1.024684e-003, 
75298125, 1.387628e-004, 9.994603e-004, 
75898110, 9.735193e-005, 1.012268e-003, 
76498095, 2.773990e-005, 1.007089e-003, 
77098080, 8.625640e-005, 9.844514e-004, 
77698065, 5.735936e-005, 1.120144e-003, 
78298050, 6.066094e-005, 1.071414e-003, 
78898035, 8.005795e-005, 1.064788e-003, 
79498020, 6.089327e-005, 1.037100e-003, 
80098005, 1.115752e-004, 1.060323e-003, 
80697990, 1.122763e-004, 1.070100e-003, 
81297975, 1.299022e-004, 1.197983e-003, 
81897960, 6.144043e-005, 1.161566e-003, 
82497945, 1.713765e-004, 1.070267e-003, 
83097930, 6.736073e-005, 1.215777e-003, 
