"S12 POLAR"
"Frequency (Hz)","U","U",
300000, -3.293113e-005, 8.123790e-006, 
899985, -1.270137e-005, -1.147816e-005, 
1499970, 5.822882e-005, 6.141177e-005, 
2099955, -1.139535e-005, -8.964261e-005, 
2699940, -6.467602e-005, -8.478884e-005, 
3299925, 3.419889e-005, 2.965270e-005, 
3899910, 1.465059e-005, -1.867488e-005, 
4499895, -1.509647e-005, 8.007096e-006, 
5099880, -1.806043e-005, 2.422321e-005, 
5699865, 7.061502e-007, -1.109970e-005, 
6299850, -2.699900e-005, 4.745774e-005, 
6899835, -2.490128e-005, 2.971992e-005, 
7499820, 8.241006e-006, 6.105133e-005, 
8099805, -3.114188e-005, -8.659616e-006, 
8699790, -8.476801e-006, 4.504865e-005, 
9299775, 1.455565e-005, 2.115223e-005, 
9899760, -5.691847e-005, 1.152015e-005, 
10499745, 2.469757e-005, -2.197500e-005, 
11099730, -9.695349e-006, -1.472987e-005, 
11699715, 7.062510e-006, -2.271725e-005, 
12299700, -4.932263e-005, 1.911178e-006, 
12899685, -3.729468e-005, -1.049421e-005, 
13499670, -1.824724e-005, 5.764666e-005, 
14099655, 1.861979e-005, 6.569985e-005, 
14699640, 1.831657e-005, 4.227445e-005, 
15299625, -1.154445e-005, -7.653647e-005, 
15899610, -1.701692e-005, -3.944051e-005, 
16499595, -3.759307e-006, -1.056997e-004, 
17099580, -4.680765e-005, -2.703790e-005, 
17699565, -4.816063e-005, 2.376435e-005, 
18299550, 2.379580e-006, 6.419230e-005, 
18899535, -2.458868e-006, 3.559779e-005, 
19499520, 2.534941e-005, 3.176084e-005, 
20099505, 8.745710e-006, -1.608162e-005, 
20699490, -4.649610e-006, -1.181738e-004, 
21299475, -3.586596e-005, -1.261632e-004, 
21899460, -1.183784e-008, -6.914951e-005, 
22499445, -5.242289e-005, -7.239693e-007, 
23099430, -1.071708e-004, 6.028433e-006, 
23699415, -3.391452e-005, 3.993587e-005, 
24299400, -2.198546e-006, 5.146490e-005, 
24899385, -1.198370e-005, 1.607920e-005, 
25499370, 1.250178e-005, -1.899231e-006, 
26099355, -2.834863e-005, -7.013280e-006, 
26699340, 3.118564e-005, -2.050167e-005, 
27299325, -3.392351e-005, -4.966804e-005, 
27899310, -7.881397e-005, -2.904416e-005, 
28499295, -9.536641e-005, 4.055183e-005, 
29099280, -1.228838e-005, -1.450614e-006, 
