"S22 POLAR"
"Frequency (Hz)","U","U",
300000, 9.946345e-001, 3.070358e-003, 
899985, 9.355386e-001, 9.971623e-004, 
1499970, 1.001655e+000, 2.730559e-003, 
2099955, 9.993852e-001, 4.042503e-004, 
2699940, 9.942678e-001, -3.969148e-003, 
3299925, 9.991262e-001, -3.817178e-003, 
3899910, 9.989817e-001, -4.659122e-003, 
4499895, 9.987508e-001, -5.307621e-003, 
5099880, 9.993555e-001, -5.238281e-003, 
5699865, 1.000889e+000, -5.890849e-003, 
6299850, 1.000275e+000, -6.432050e-003, 
6899835, 1.000353e+000, -8.009368e-003, 
7499820, 9.995964e-001, -8.792686e-003, 
8099805, 9.987133e-001, -9.974036e-003, 
8699790, 1.000252e+000, -1.157672e-002, 
9299775, 1.001003e+000, -1.166307e-002, 
9899760, 9.979054e-001, -1.674219e-002, 
10499745, 9.992205e-001, -1.336334e-002, 
11099730, 1.001219e+000, -1.360147e-002, 
11699715, 1.001419e+000, -1.492951e-002, 
12299700, 1.000589e+000, -1.548959e-002, 
12899685, 9.993613e-001, -1.850156e-002, 
13499670, 9.998086e-001, -1.683803e-002, 
14099655, 1.000490e+000, -1.694315e-002, 
14699640, 1.000497e+000, -1.823600e-002, 
15299625, 1.000606e+000, -1.942864e-002, 
15899610, 1.000077e+000, -1.989419e-002, 
16499595, 1.000154e+000, -1.988442e-002, 
17099580, 9.995807e-001, -2.155084e-002, 
17699565, 9.998521e-001, -2.241949e-002, 
18299550, 9.994234e-001, -2.204413e-002, 
18899535, 9.981418e-001, -2.335441e-002, 
19499520, 9.984636e-001, -2.438114e-002, 
20099505, 9.988626e-001, -2.442243e-002, 
20699490, 9.993359e-001, -2.447572e-002, 
21299475, 9.996653e-001, -2.470062e-002, 
21899460, 9.994841e-001, -2.759726e-002, 
22499445, 1.000056e+000, -2.904666e-002, 
23099430, 1.000687e+000, -2.940409e-002, 
23699415, 1.000804e+000, -2.929634e-002, 
24299400, 1.001229e+000, -3.030914e-002, 
24899385, 1.000656e+000, -3.289884e-002, 
25499370, 1.000432e+000, -3.380106e-002, 
26099355, 1.000114e+000, -3.173059e-002, 
26699340, 1.000327e+000, -3.215651e-002, 
27299325, 1.000227e+000, -3.384109e-002, 
27899310, 9.989191e-001, -3.318234e-002, 
28499295, 9.988777e-001, -3.444099e-002, 
29099280, 1.000097e+000, -3.590607e-002, 
29699265, 1.000486e+000, -3.693820e-002, 
30299250, 1.000517e+000, -3.951242e-002, 
30899235, 1.000212e+000, -3.791093e-002, 
31499220, 1.000555e+000, -3.818011e-002, 
32099205, 1.001160e+000, -3.862968e-002, 
32699190, 1.000116e+000, -3.950183e-002, 
33299175, 9.995061e-001, -4.142236e-002, 
33899160, 9.990652e-001, -4.126442e-002, 
34499145, 9.984896e-001, -4.241227e-002, 
35099130, 9.981114e-001, -4.313214e-002, 
35699115, 9.987578e-001, -4.356552e-002, 
36299100, 9.990383e-001, -4.493048e-002, 
36899085, 9.979029e-001, -4.446810e-002, 
37499070, 9.987178e-001, -4.529302e-002, 
38099055, 1.000059e+000, -4.712440e-002, 
38699040, 9.993364e-001, -4.756556e-002, 
39299025, 9.987653e-001, -4.793151e-002, 
39899010, 9.994054e-001, -4.784685e-002, 
40498995, 9.978542e-001, -4.994879e-002, 
41098980, 9.955298e-001, -5.043396e-002, 
41698965, 9.951156e-001, -4.988003e-002, 
42298950, 9.957718e-001, -5.126587e-002, 
42898935, 9.985866e-001, -5.030239e-002, 
43498920, 1.000909e+000, -5.087495e-002, 
44098905, 1.002306e+000, -5.320600e-002, 
44698890, 1.002480e+000, -5.567132e-002, 
45298875, 1.002331e+000, -5.582650e-002, 
45898860, 1.001999e+000, -5.681834e-002, 
46498845, 1.001295e+000, -5.634191e-002, 
