"S22 POLAR"
"Frequency (Hz)","U","U",
300000, 1.002832e+000, -3.417460e-003, 
899985, 9.374415e-001, -3.138702e-003, 
1499970, 1.002774e+000, -5.433760e-005, 
2099955, 9.998288e-001, -1.780604e-003, 
2699940, 9.948822e-001, -5.473233e-003, 
3299925, 9.990848e-001, -4.594414e-003, 
3899910, 9.991294e-001, -5.622863e-003, 
4499895, 9.992522e-001, -6.087317e-003, 
5099880, 9.995838e-001, -5.780822e-003, 
5699865, 1.000823e+000, -6.621866e-003, 
6299850, 1.000473e+000, -6.661369e-003, 
6899835, 1.000352e+000, -8.366348e-003, 
7499820, 9.996507e-001, -9.118121e-003, 
8099805, 9.988009e-001, -1.056425e-002, 
8699790, 1.000498e+000, -1.167522e-002, 
9299775, 1.001009e+000, -1.184002e-002, 
9899760, 9.978281e-001, -1.688847e-002, 
10499745, 9.990934e-001, -1.377214e-002, 
11099730, 1.001203e+000, -1.376313e-002, 
11699715, 1.001239e+000, -1.475955e-002, 
12299700, 1.000851e+000, -1.584102e-002, 
12899685, 9.993562e-001, -1.838926e-002, 
13499670, 9.996730e-001, -1.687240e-002, 
14099655, 1.000194e+000, -1.683169e-002, 
14699640, 1.000533e+000, -1.785001e-002, 
15299625, 1.000523e+000, -1.895936e-002, 
15899610, 9.999005e-001, -1.946132e-002, 
16499595, 9.998314e-001, -2.001781e-002, 
17099580, 9.996613e-001, -2.096278e-002, 
17699565, 9.997078e-001, -2.197668e-002, 
18299550, 9.990808e-001, -2.165234e-002, 
18899535, 9.984318e-001, -2.285332e-002, 
19499520, 9.979081e-001, -2.360024e-002, 
20099505, 9.987484e-001, -2.424590e-002, 
20699490, 9.991420e-001, -2.408415e-002, 
21299475, 9.995683e-001, -2.455152e-002, 
21899460, 9.992310e-001, -2.682191e-002, 
22499445, 9.997459e-001, -2.790953e-002, 
23099430, 1.000624e+000, -2.861791e-002, 
23699415, 1.000642e+000, -2.887951e-002, 
24299400, 1.000987e+000, -2.966252e-002, 
24899385, 1.000528e+000, -3.188080e-002, 
25499370, 1.000060e+000, -3.277510e-002, 
26099355, 9.998466e-001, -3.115569e-002, 
26699340, 9.999713e-001, -3.155186e-002, 
27299325, 1.000039e+000, -3.302275e-002, 
27899310, 9.987825e-001, -3.233530e-002, 
28499295, 9.990211e-001, -3.367289e-002, 
29099280, 1.000004e+000, -3.498495e-002, 
29699265, 1.000526e+000, -3.619032e-002, 
30299250, 1.000695e+000, -3.833325e-002, 
30899235, 1.000236e+000, -3.719797e-002, 
31499220, 1.000777e+000, -3.747017e-002, 
32099205, 1.001153e+000, -3.792899e-002, 
32699190, 1.000543e+000, -3.839239e-002, 
33299175, 9.998865e-001, -4.033963e-002, 
33899160, 9.992974e-001, -4.022897e-002, 
34499145, 9.988553e-001, -4.140745e-002, 
35099130, 9.982601e-001, -4.201752e-002, 
35699115, 9.989088e-001, -4.263491e-002, 
36299100, 9.994187e-001, -4.391094e-002, 
36899085, 9.981826e-001, -4.359923e-002, 
37499070, 9.989449e-001, -4.434438e-002, 
38099055, 1.000275e+000, -4.630290e-002, 
38699040, 9.996113e-001, -4.662760e-002, 
39299025, 9.991093e-001, -4.724231e-002, 
39899010, 9.998102e-001, -4.699297e-002, 
40498995, 9.982855e-001, -4.925589e-002, 
41098980, 9.959327e-001, -4.960214e-002, 
41698965, 9.952905e-001, -4.924952e-002, 
42298950, 9.960843e-001, -4.992168e-002, 
42898935, 9.993394e-001, -4.956522e-002, 
43498920, 1.001366e+000, -4.979340e-002, 
44098905, 1.002760e+000, -5.243080e-002, 
44698890, 1.002299e+000, -5.418647e-002, 
45298875, 1.002296e+000, -5.485404e-002, 
45898860, 1.001692e+000, -5.548759e-002, 
46498845, 1.001351e+000, -5.580533e-002, 
47098830, 1.000874e+000, -5.534394e-002, 
47698815, 9.986559e-001, -5.750166e-002, 
48298800, 9.973093e-001, -5.810106e-002, 
48898785, 9.987567e-001, -5.991349e-002, 
49498770, 9.995460e-001, -6.080102e-002, 
50098755, 1.000610e+000, -6.313010e-002, 
50698740, 9.996515e-001, -6.406900e-002, 
51298725, 9.995911e-001, -6.358227e-002, 
51898710, 1.002834e+000, -6.355378e-002, 
52498695, 1.003231e+000, -6.338976e-002, 
53098680, 9.998441e-001, -6.667628e-002, 
53698665, 9.996153e-001, -6.811122e-002, 
54298650, 9.995031e-001, -6.715284e-002, 
54898635, 1.000135e+000, -6.515776e-002, 
55498620, 1.000616e+000, -6.442595e-002, 
56098605, 9.999864e-001, -6.643005e-002, 
56698590, 9.998589e-001, -6.834986e-002, 
57298575, 1.000052e+000, -6.897660e-002, 
57898560, 1.000540e+000, -6.943770e-002, 
58498545, 1.000049e+000, -6.901450e-002, 
59098530, 9.988852e-001, -7.145314e-002, 
59698515, 9.961688e-001, -7.225976e-002, 
60298500, 9.957557e-001, -7.276872e-002, 
60898485, 9.979835e-001, -7.431343e-002, 
61498470, 9.992381e-001, -7.617044e-002, 
62098455, 9.999871e-001, -7.614090e-002, 
62698440, 9.982293e-001, -7.700605e-002, 
63298425, 9.968971e-001, -7.751618e-002, 
63898410, 9.978487e-001, -7.418624e-002, 
64498395, 9.972463e-001, -7.279361e-002, 
65098380, 9.977517e-001, -7.587171e-002, 
65698365, 1.000292e+000, -7.747504e-002, 
66298350, 1.001354e+000, -7.877204e-002, 
66898335, 1.000373e+000, -7.782073e-002, 
67498320, 1.002222e+000, -7.972607e-002, 
68098305, 1.004892e+000, -8.204132e-002, 
68698290, 1.001856e+000, -8.028229e-002, 
69298275, 1.000142e+000, -7.849002e-002, 
69898260, 9.974318e-001, -8.114493e-002, 
70498245, 9.976240e-001, -8.399364e-002, 
71098230, 9.991459e-001, -8.532698e-002, 
71698215, 9.989356e-001, -8.429315e-002, 
72298200, 9.993700e-001, -8.528043e-002, 
72898185, 1.000169e+000, -8.531198e-002, 
73498170, 1.002166e+000, -8.656412e-002, 
74098155, 1.002043e+000, -8.670805e-002, 
74698140, 1.000044e+000, -8.656741e-002, 
75298125, 9.986535e-001, -8.625801e-002, 
75898110, 1.003613e+000, -8.716379e-002, 
76498095, 1.003320e+000, -8.875759e-002, 
77098080, 1.000644e+000, -8.845986e-002, 
77698065, 1.001294e+000, -8.914532e-002, 
78298050, 1.000964e+000, -9.284830e-002, 
78898035, 9.979856e-001, -9.310190e-002, 
79498020, 9.989111e-001, -9.398566e-002, 
80098005, 1.001248e+000, -9.414975e-002, 
80697990, 9.990851e-001, -9.512641e-002, 
81297975, 9.970550e-001, -9.660102e-002, 
81897960, 9.968340e-001, -9.663229e-002, 
82497945, 9.995891e-001, -9.714585e-002, 
83097930, 1.001214e+000, -9.830464e-002, 
83697915, 9.993641e-001, -9.942935e-002, 
84297900, 9.978964e-001, -1.012064e-001, 
84897885, 1.000601e+000, -1.016886e-001, 
85497870, 1.000598e+000, -1.012108e-001, 
86097855, 9.998906e-001, -1.019797e-001, 
86697840, 9.994466e-001, -1.015220e-001, 
87297825, 9.995900e-001, -9.984767e-002, 
87897810, 9.989350e-001, -1.017850e-001, 
88497795, 9.990469e-001, -1.034609e-001, 
89097780, 9.999080e-001, -1.045855e-001, 
89697765, 9.991359e-001, -1.057593e-001, 
90297750, 9.975311e-001, -1.061923e-001, 
90897735, 9.966896e-001, -1.046528e-001, 
91497720, 9.969506e-001, -1.043381e-001, 
92097705, 9.969766e-001, -1.066807e-001, 
92697690, 9.963636e-001, -1.075543e-001, 
93297675, 9.964878e-001, -1.066515e-001, 
93897660, 9.971924e-001, -1.085187e-001, 
94497645, 9.981514e-001, -1.097027e-001, 
95097630, 9.996359e-001, -1.114467e-001, 
95697615, 9.998042e-001, -1.128544e-001, 
96297600, 9.990849e-001, -1.137046e-001, 
96897585, 9.975641e-001, -1.132632e-001, 
97497570, 9.972253e-001, -1.121202e-001, 
98097555, 9.969681e-001, -1.099291e-001, 
98697540, 9.965336e-001, -1.115982e-001, 
99297525, 9.960879e-001, -1.142624e-001, 
99897510, 9.935983e-001, -1.140573e-001, 
100497495, 9.959146e-001, -1.158477e-001, 
101097480, 9.995891e-001, -1.176389e-001, 
101697465, 1.000040e+000, -1.185933e-001, 
102297450, 9.989190e-001, -1.200634e-001, 
102897435, 9.946739e-001, -1.217804e-001, 
103497420, 9.952275e-001, -1.218984e-001, 
104097405, 9.966786e-001, -1.192167e-001, 
104697390, 1.000262e+000, -1.209090e-001, 
105297375, 1.000210e+000, -1.242133e-001, 
105897360, 9.994113e-001, -1.226603e-001, 
106497345, 9.965556e-001, -1.220239e-001, 
107097330, 9.952264e-001, -1.207146e-001, 
107697315, 9.974124e-001, -1.230025e-001, 
108297300, 9.986955e-001, -1.262821e-001, 
108897285, 9.978279e-001, -1.224983e-001, 
109497270, 9.973382e-001, -1.221260e-001, 
110097255, 9.981219e-001, -1.252944e-001, 
110697240, 9.981519e-001, -1.266127e-001, 
111297225, 9.963930e-001, -1.287481e-001, 
111897210, 9.943584e-001, -1.292088e-001, 
112497195, 9.943729e-001, -1.300347e-001, 
113097180, 9.969935e-001, -1.277741e-001, 
113697165, 9.972882e-001, -1.261023e-001, 
114297150, 9.962463e-001, -1.265683e-001, 
114897135, 9.954432e-001, -1.274206e-001, 
115497120, 9.962967e-001, -1.291605e-001, 
116097105, 9.974832e-001, -1.306293e-001, 
116697090, 9.979299e-001, -1.314353e-001, 
117297075, 9.973106e-001, -1.337299e-001, 
117897060, 9.971414e-001, -1.345163e-001, 
118497045, 9.974205e-001, -1.357153e-001, 
119097030, 9.977931e-001, -1.358423e-001, 
119697015, 9.972664e-001, -1.355819e-001, 
120297000, 9.966394e-001, -1.356065e-001, 
120896985, 9.987755e-001, -1.367190e-001, 
121496970, 9.980118e-001, -1.382038e-001, 
122096955, 9.975384e-001, -1.400988e-001, 
122696940, 9.966151e-001, -1.404092e-001, 
123296925, 9.965578e-001, -1.411462e-001, 
123896910, 9.981623e-001, -1.412827e-001, 
124496895, 9.975938e-001, -1.416850e-001, 
125096880, 9.972072e-001, -1.426571e-001, 
125696865, 9.978620e-001, -1.436870e-001, 
126296850, 9.992266e-001, -1.449992e-001, 
126896835, 9.980558e-001, -1.435291e-001, 
127496820, 9.974931e-001, -1.435167e-001, 
128096805, 9.971982e-001, -1.454603e-001, 
128696790, 9.960385e-001, -1.448687e-001, 
129296775, 9.971256e-001, -1.436261e-001, 
129896760, 9.970102e-001, -1.467212e-001, 
130496745, 9.959217e-001, -1.476665e-001, 
131096730, 9.959015e-001, -1.481051e-001, 
131696715, 9.965024e-001, -1.503422e-001, 
132296700, 9.961639e-001, -1.515358e-001, 
132896685, 9.961929e-001, -1.517924e-001, 
133496670, 9.960129e-001, -1.517768e-001, 
134096655, 9.948925e-001, -1.516927e-001, 
134696640, 9.961552e-001, -1.519195e-001, 
135296625, 9.976638e-001, -1.522520e-001, 
135896610, 9.970823e-001, -1.521200e-001, 
136496595, 9.949583e-001, -1.540145e-001, 
137096580, 9.923411e-001, -1.575243e-001, 
137696565, 9.952590e-001, -1.573739e-001, 
138296550, 9.984018e-001, -1.546050e-001, 
138896535, 9.985945e-001, -1.563204e-001, 
139496520, 9.970251e-001, -1.564828e-001, 
140096505, 9.947222e-001, -1.549155e-001, 
140696490, 9.936402e-001, -1.575925e-001, 
141296475, 9.935106e-001, -1.602003e-001, 
141896460, 9.966692e-001, -1.567816e-001, 
142496445, 9.968931e-001, -1.553687e-001, 
143096430, 9.951068e-001, -1.592818e-001, 
143696415, 9.954472e-001, -1.598575e-001, 
144296400, 9.970142e-001, -1.582437e-001, 
144896385, 9.977104e-001, -1.606572e-001, 
145496370, 9.949995e-001, -1.618715e-001, 
146096355, 9.929284e-001, -1.607991e-001, 
146696340, 9.962426e-001, -1.605949e-001, 
147296325, 9.984700e-001, -1.593626e-001, 
147896310, 9.943433e-001, -1.589276e-001, 
148496295, 9.940152e-001, -1.604554e-001, 
149096280, 9.969556e-001, -1.620412e-001, 
149696265, 9.965149e-001, -1.625388e-001, 
150296250, 9.956108e-001, -1.630880e-001, 
150896235, 9.946516e-001, -1.641939e-001, 
151496220, 9.947249e-001, -1.649979e-001, 
152096205, 9.958937e-001, -1.654727e-001, 
152696190, 9.993888e-001, -1.653681e-001, 
153296175, 1.001490e+000, -1.674096e-001, 
153896160, 1.001233e+000, -1.675811e-001, 
154496145, 9.991262e-001, -1.682844e-001, 
155096130, 9.960545e-001, -1.676321e-001, 
155696115, 9.962768e-001, -1.662295e-001, 
156296100, 9.967132e-001, -1.669192e-001, 
