"S22 POLAR"
"Frequency (Hz)","U","U",
300000, 9.948325e-001, 2.037286e-003, 
899985, 9.356983e-001, 1.003469e-003, 
1499970, 1.001909e+000, 2.635172e-003, 
2099955, 9.997217e-001, 9.779873e-004, 
2699940, 9.943881e-001, -3.521453e-003, 
3299925, 9.993172e-001, -2.775577e-003, 
3899910, 9.989727e-001, -3.994287e-003, 
4499895, 9.989977e-001, -4.553888e-003, 
5099880, 9.994294e-001, -4.040449e-003, 
5699865, 1.000927e+000, -4.585925e-003, 
6299850, 1.000299e+000, -4.942865e-003, 
6899835, 1.000273e+000, -5.877271e-003, 
7499820, 9.997630e-001, -7.022715e-003, 
8099805, 9.988084e-001, -8.190988e-003, 
8699790, 1.000342e+000, -9.507454e-003, 
9299775, 1.000972e+000, -9.598299e-003, 
9899760, 9.976261e-001, -1.428224e-002, 
10499745, 9.992047e-001, -1.128408e-002, 
11099730, 1.001306e+000, -1.109010e-002, 
11699715, 1.001206e+000, -1.247441e-002, 
12299700, 1.000827e+000, -1.296120e-002, 
12899685, 9.991156e-001, -1.592567e-002, 
13499670, 9.997061e-001, -1.409751e-002, 
14099655, 1.000032e+000, -1.383016e-002, 
14699640, 1.000246e+000, -1.506987e-002, 
15299625, 1.000445e+000, -1.604817e-002, 
15899610, 1.000337e+000, -1.649591e-002, 
16499595, 9.996911e-001, -1.637527e-002, 
17099580, 9.998554e-001, -1.774912e-002, 
17699565, 9.994584e-001, -1.809389e-002, 
18299550, 9.989297e-001, -1.806812e-002, 
18899535, 9.979550e-001, -1.958504e-002, 
19499520, 9.979630e-001, -2.005357e-002, 
20099505, 9.980742e-001, -2.021035e-002, 
20699490, 9.989625e-001, -2.034844e-002, 
21299475, 9.991706e-001, -2.048626e-002, 
21899460, 9.990053e-001, -2.270671e-002, 
22499445, 9.998816e-001, -2.401335e-002, 
23099430, 1.000881e+000, -2.417905e-002, 
23699415, 1.000350e+000, -2.438961e-002, 
24299400, 1.000758e+000, -2.479804e-002, 
24899385, 1.000255e+000, -2.737885e-002, 
25499370, 9.997675e-001, -2.835484e-002, 
26099355, 9.997153e-001, -2.590969e-002, 
26699340, 9.996608e-001, -2.641984e-002, 
27299325, 9.995271e-001, -2.796703e-002, 
27899310, 9.983788e-001, -2.733315e-002, 
28499295, 9.984522e-001, -2.787070e-002, 
