"S12 POLAR"
"Frequency (Hz)","U","U",
300000, 4.290299e-005, 1.406071e-005, 
899985, -1.454503e-005, 1.563698e-005, 
1499970, 1.279031e-004, 3.209150e-005, 
2099955, 1.652484e-005, -8.367160e-005, 
2699940, -3.746510e-005, -2.408821e-005, 
3299925, -8.622703e-005, 3.400191e-005, 
3899910, -6.323138e-006, 1.538421e-005, 
4499895, -1.936054e-005, -1.918929e-005, 
5099880, -4.972776e-005, 1.417906e-005, 
5699865, 1.930729e-005, 1.471778e-005, 
6299850, -1.319069e-006, 4.659529e-005, 
6899835, -1.415377e-005, 1.378141e-005, 
7499820, 1.152754e-005, -3.932007e-007, 
8099805, 9.808077e-006, 4.278652e-005, 
8699790, 3.017925e-005, -3.248174e-007, 
9299775, -6.739170e-006, -7.672559e-007, 
9899760, -6.997207e-006, -2.932130e-005, 
10499745, 2.183950e-005, -6.068827e-006, 
11099730, -3.698992e-005, 8.782978e-006, 
11699715, -2.083146e-005, 1.039432e-005, 
12299700, -6.687362e-005, -3.281795e-005, 
12899685, 1.710514e-005, 2.586059e-006, 
13499670, -2.170503e-005, 1.919373e-005, 
14099655, 5.487924e-005, -1.181858e-006, 
14699640, -3.042531e-005, 2.273522e-005, 
15299625, 9.827661e-005, 4.326256e-005, 
15899610, 5.654293e-006, 2.568070e-005, 
16499595, 2.408530e-005, 5.137595e-005, 
17099580, -8.677673e-006, 4.613476e-005, 
17699565, -6.799866e-005, 1.332517e-004, 
18299550, -2.182914e-005, 9.947077e-005, 
18899535, -3.405275e-005, 5.800963e-005, 
19499520, -5.861192e-005, 5.320638e-005, 
20099505, -1.255217e-004, -2.671786e-005, 
20699490, -3.698829e-005, 3.478893e-005, 
21299475, -5.461812e-005, 1.283027e-005, 
21899460, -4.191869e-005, 2.854173e-005, 
22499445, -4.149368e-005, 2.723381e-006, 
23099430, 1.204195e-005, 1.872676e-005, 
23699415, -4.983702e-005, -5.314781e-006, 
24299400, -1.201316e-004, -3.330745e-005, 
24899385, -7.834285e-005, -1.717851e-006, 
25499370, -6.381157e-005, 2.594813e-005, 
26099355, -9.322445e-005, 1.940292e-006, 
26699340, -4.954409e-005, -1.228096e-006, 
27299325, -2.903704e-005, 2.347768e-005, 
27899310, 6.466987e-006, -1.904028e-005, 
28499295, -3.293536e-005, -4.039680e-005, 
29099280, 4.611824e-006, 2.361873e-005, 
29699265, 2.654094e-005, 3.057617e-005, 
30299250, -1.821187e-005, -1.424152e-005, 
30899235, 1.571169e-005, 1.392110e-005, 
31499220, -6.307409e-008, -7.060447e-005, 
32099205, 3.166597e-006, -7.529021e-005, 
32699190, -5.842727e-006, 3.754126e-005, 
33299175, 1.660351e-005, 4.477582e-005, 
33899160, 2.931784e-005, -1.051322e-005, 
34499145, 3.610190e-005, -3.648128e-006, 
35099130, -2.674235e-005, 4.758879e-005, 
35699115, 5.316416e-005, 5.094312e-005, 
36299100, 4.640020e-005, 2.526664e-005, 
36899085, 3.914549e-005, 3.347961e-005, 
37499070, 1.689800e-006, 4.574384e-005, 
38099055, 4.808797e-006, 6.978935e-006, 
38699040, 5.565810e-006, 2.845772e-005, 
39299025, 3.870091e-005, 2.510550e-005, 
39899010, 2.414954e-005, 2.833012e-005, 
40498995, 1.547086e-005, 9.735655e-005, 
41098980, 1.506888e-005, 8.742973e-005, 
41698965, 2.993180e-005, 1.132787e-004, 
42298950, 3.215383e-005, 5.688728e-005, 
42898935, -2.174112e-005, 5.753728e-005, 
43498920, 3.583841e-005, 9.675121e-005, 
44098905, 2.660234e-006, 6.040436e-005, 
44698890, -2.223728e-005, 1.407827e-005, 
45298875, -8.764363e-006, 6.416091e-005, 
45898860, -4.422988e-005, -1.473114e-005, 
46498845, -2.415209e-005, 1.616213e-005, 
47098830, 9.524799e-007, -2.816763e-005, 
47698815, 1.865249e-005, 6.315712e-005, 
48298800, -1.506232e-005, 5.403689e-005, 
48898785, -6.033950e-005, 8.564207e-005, 
49498770, 5.925953e-006, 1.339782e-004, 
50098755, 3.606464e-006, 1.764984e-004, 
50698740, 8.968637e-005, 3.815840e-005, 
51298725, -3.720148e-005, 5.502575e-005, 
51898710, 1.684656e-006, -5.326490e-005, 
52498695, -9.344882e-006, 5.541028e-006, 
53098680, -1.377666e-005, 4.107868e-005, 
53698665, 5.251754e-005, 1.358355e-005, 
54298650, 7.004709e-005, 4.069801e-005, 
54898635, 2.607263e-005, 1.497517e-005, 
55498620, 3.415554e-005, 7.221354e-005, 
56098605, 6.227977e-006, 1.450532e-004, 
56698590, 4.600443e-006, 1.377248e-005, 
57298575, 4.901565e-005, 1.266942e-004, 
57898560, 3.676052e-005, -1.354726e-005, 
58498545, 1.137530e-004, 7.251923e-005, 
59098530, 6.716701e-005, 1.396939e-004, 
59698515, 5.379091e-005, 4.619403e-005, 
60298500, -1.617183e-005, -8.535627e-005, 
60898485, 4.918001e-005, 1.383702e-005, 
61498470, -3.855540e-005, -1.616964e-005, 
62098455, -2.611255e-005, -2.527564e-005, 
62698440, 9.028225e-005, 1.115207e-004, 
63298425, -2.762739e-005, 8.688345e-005, 
63898410, -6.628157e-005, 3.573314e-005, 
64498395, -7.255450e-005, 8.624212e-006, 
65098380, 7.476303e-005, 7.764797e-005, 
65698365, 1.085318e-005, 7.820038e-005, 
66298350, -3.485959e-005, 2.596252e-006, 
66898335, -9.799511e-005, 1.158391e-006, 
67498320, 4.163349e-006, 2.192930e-005, 
68098305, 8.298731e-005, 3.786219e-005, 
68698290, 9.329314e-005, 4.038447e-005, 
69298275, 4.937732e-005, 8.707795e-005, 
69898260, 3.371428e-005, 1.114394e-004, 
70498245, -2.325013e-005, 1.111311e-005, 
71098230, -6.095554e-005, 6.599676e-005, 
71698215, -4.728531e-005, 5.334306e-005, 
72298200, 5.434984e-005, 4.682898e-005, 
72898185, 6.054206e-005, 8.430187e-005, 
73498170, 4.699201e-005, 1.262793e-004, 
74098155, 6.653067e-005, 5.425155e-005, 
74698140, -2.316098e-008, 1.106910e-004, 
75298125, 4.493976e-005, 1.356096e-004, 
75898110, 1.525481e-004, 4.048970e-005, 
76498095, 4.631062e-005, 8.229516e-005, 
77098080, 1.965839e-005, 1.215585e-004, 
77698065, 3.099709e-005, 3.311438e-005, 
78298050, -7.893692e-005, 1.341537e-006, 
78898035, 4.763436e-005, 1.221425e-004, 
79498020, -4.121528e-005, 7.858349e-005, 
80098005, -2.119093e-005, 1.078505e-004, 
80697990, -4.002340e-005, 7.824104e-005, 
81297975, -4.275598e-005, 7.738921e-005, 
81897960, -5.645735e-005, 2.472294e-005, 
82497945, 7.120051e-006, 1.484416e-005, 
83097930, -2.427731e-005, 9.859320e-005, 
83697915, -4.478341e-005, 5.736116e-005, 
84297900, 5.455730e-005, 2.037467e-005, 
84897885, 1.822028e-005, 5.496713e-005, 
85497870, 7.807654e-005, 6.646616e-005, 
86097855, 1.009844e-005, 2.234472e-005, 
86697840, -3.439697e-005, 9.555546e-005, 
87297825, -5.089720e-005, 5.012821e-005, 
87897810, -2.945017e-005, 5.493315e-005, 
88497795, 9.675635e-005, 8.415158e-006, 
89097780, -4.691874e-006, 9.921935e-005, 
89697765, 4.137799e-005, 1.178202e-004, 
90297750, -7.216130e-006, 1.019204e-004, 
90897735, 8.804538e-006, 7.640498e-005, 
91497720, 6.879379e-005, 6.482050e-005, 
92097705, -8.582910e-006, 7.451050e-005, 
92697690, 5.249675e-005, 8.438600e-005, 
93297675, -9.129020e-006, 4.170340e-005, 
93897660, -1.398473e-004, 5.437257e-005, 
94497645, 2.654174e-005, 4.415757e-005, 
95097630, 2.571597e-005, 8.739297e-005, 
95697615, -5.492412e-005, 1.003232e-004, 
96297600, 1.768132e-005, 6.956526e-005, 
96897585, -4.038468e-005, 1.000431e-004, 
97497570, 4.652919e-005, 1.958811e-004, 
98097555, 3.343292e-005, 9.226556e-005, 
98697540, -1.281604e-004, 3.159340e-005, 
99297525, -3.278571e-005, 1.837474e-005, 
99897510, -1.308020e-005, 4.215332e-005, 
100497495, 5.283138e-005, 2.883354e-006, 
101097480, 3.445149e-005, 1.005357e-004, 
101697465, 1.025742e-004, 9.769590e-005, 
102297450, 3.829480e-005, 1.272202e-004, 
102897435, 2.784712e-006, 5.895650e-005, 
103497420, 7.299120e-005, 8.333669e-005, 
104097405, 6.517980e-005, -1.648464e-005, 
104697390, -7.299409e-005, 2.982684e-006, 
105297375, 9.197702e-005, 4.484076e-005, 
105897360, 5.301993e-006, 1.225621e-004, 
106497345, -3.144586e-006, 1.043527e-004, 
107097330, -4.873340e-005, 2.167550e-004, 
107697315, -1.269530e-004, 1.569172e-004, 
108297300, -6.644986e-005, 1.040445e-004, 
108897285, 8.528618e-005, 5.582348e-005, 
109497270, -1.730484e-005, 2.582378e-005, 
110097255, 1.287183e-005, 1.384318e-004, 
110697240, 6.469092e-005, 2.093310e-004, 
111297225, 6.609887e-005, 7.503386e-005, 
111897210, 7.884090e-005, 6.857259e-005, 
112497195, -2.081773e-005, 1.255364e-004, 
113097180, 3.277258e-005, 9.457931e-005, 
113697165, -2.178150e-005, 7.710412e-005, 
114297150, 2.922528e-005, 4.671946e-005, 
114897135, 4.875958e-005, 1.358957e-004, 
115497120, 5.279042e-005, 1.261883e-004, 
116097105, 5.295957e-005, 1.274306e-004, 
116697090, 4.781993e-005, 7.514186e-005, 
117297075, -8.189514e-006, 5.478432e-005, 
117897060, -2.102975e-005, 6.402653e-005, 
118497045, -2.522297e-006, 1.069641e-004, 
119097030, -4.606254e-006, 4.037234e-005, 
119697015, -8.108344e-006, 1.376655e-004, 
120297000, 1.108952e-004, 1.397830e-004, 
120896985, 1.478629e-004, 1.102870e-004, 
121496970, 1.280827e-004, 5.895417e-005, 
122096955, 6.839601e-005, 1.247518e-004, 
122696940, 4.558626e-005, 8.199654e-005, 
123296925, 2.931371e-005, 1.220462e-004, 
123896910, 6.185625e-005, 1.305436e-004, 
124496895, 1.971789e-005, 1.564227e-004, 
125096880, 5.370465e-005, 1.615270e-004, 
125696865, 2.939272e-005, 2.170811e-004, 
126296850, -1.035352e-005, 1.519864e-004, 
126896835, 1.755939e-005, 1.162966e-004, 
127496820, -4.586140e-005, 5.648208e-005, 
128096805, 6.791308e-005, 6.229992e-005, 
128696790, -1.577044e-005, 2.205832e-005, 
129296775, -5.896730e-005, 3.190686e-005, 
129896760, -1.245920e-005, 1.528495e-004, 
130496745, -3.627775e-005, 1.690554e-004, 
131096730, 1.632936e-005, 1.870739e-004, 
131696715, -4.618767e-005, 7.436193e-005, 
132296700, 1.522624e-004, 1.108175e-005, 
132896685, 6.653002e-005, 1.884842e-004, 
133496670, -1.152134e-005, 1.015179e-004, 
134096655, 2.100920e-005, 5.871781e-005, 
134696640, -6.644886e-005, 1.716238e-004, 
135296625, -7.549456e-005, 1.466497e-004, 
135896610, -5.870303e-005, 1.355195e-004, 
136496595, 7.709817e-005, 1.040782e-004, 
137096580, -1.019291e-004, 1.132722e-004, 
137696565, 9.529538e-005, 1.734646e-004, 
138296550, -3.131850e-005, 6.830282e-005, 
138896535, 7.548410e-005, 4.940685e-005, 
139496520, -4.046824e-005, 1.753421e-005, 
140096505, 6.579833e-005, 1.805913e-004, 
140696490, 3.725697e-005, 4.755083e-005, 
141296475, 2.035917e-006, 1.740633e-005, 
141896460, 1.645233e-005, 3.474531e-005, 
142496445, 3.075077e-005, -6.218623e-006, 
143096430, -1.068312e-004, 1.631858e-006, 
143696415, 1.816527e-005, 1.363635e-004, 
144296400, 9.423417e-005, 1.092282e-004, 
144896385, -1.541860e-005, 9.276609e-005, 
145496370, -1.232241e-006, 9.895649e-005, 
146096355, 1.166449e-005, 2.372527e-004, 
146696340, 3.287146e-005, 1.537095e-004, 
147296325, 4.095805e-006, 8.293000e-005, 
147896310, 4.568422e-005, 1.212677e-004, 
148496295, 3.259230e-005, 3.582260e-005, 
149096280, 1.806518e-005, 1.582037e-004, 
149696265, 6.355429e-005, 9.292156e-005, 
150296250, -4.405851e-005, 1.703282e-004, 
150896235, -8.635985e-005, 1.594777e-004, 
151496220, 6.968326e-005, 1.641618e-004, 
152096205, 1.970591e-005, 1.806894e-004, 
152696190, -2.612186e-005, 1.166907e-004, 
153296175, 4.308739e-005, 1.249480e-004, 
153896160, -8.658042e-007, 7.146477e-005, 
154496145, -7.066061e-005, 3.886932e-005, 
155096130, -4.156323e-005, 7.004580e-005, 
155696115, -5.741684e-005, 1.092459e-004, 
156296100, 3.886797e-005, 1.007617e-004, 
156896085, -5.716955e-005, -3.489085e-005, 
157496070, 1.653395e-005, 9.165792e-005, 
158096055, 5.763444e-005, 1.156610e-004, 
158696040, 3.710436e-005, 1.292681e-004, 
159296025, 2.003695e-005, 1.037339e-004, 
159896010, -9.350502e-005, 1.251736e-004, 
160495995, -6.015243e-005, 1.460465e-004, 
161095980, 5.764396e-005, 1.186934e-004, 
161695965, 1.028100e-004, 1.501629e-004, 
162295950, 3.948058e-005, 1.616960e-004, 
162895935, 6.099016e-005, 1.348024e-004, 
163495920, -3.849754e-006, 1.432447e-004, 
164095905, 5.989140e-005, 1.733841e-004, 
164695890, 1.373710e-005, 1.899685e-004, 
165295875, -7.541123e-005, 2.714345e-005, 
165895860, 5.526011e-005, 8.854587e-005, 
166495845, 2.119064e-005, 1.777303e-004, 
