"S11 POLAR"
"Frequency (Hz)","U","U",
300000, 9.820727e-001, 1.751811e-002, 
899985, 9.747524e-001, 2.577608e-002, 
1499970, 9.935350e-001, 7.261009e-003, 
2099955, 9.885881e-001, 9.518912e-003, 
2699940, 9.969596e-001, 1.272216e-003, 
3299925, 9.962413e-001, 9.251729e-004, 
3899910, 9.955379e-001, 1.789956e-003, 
4499895, 9.963420e-001, -7.680319e-005, 
5099880, 9.965158e-001, -1.227272e-004, 
5699865, 9.963512e-001, -1.361868e-003, 
6299850, 9.965613e-001, -3.110396e-003, 
6899835, 9.965045e-001, -2.805620e-003, 
7499820, 9.967104e-001, -2.954615e-003, 
8099805, 9.965510e-001, -2.069150e-003, 
8699790, 9.965298e-001, -2.942598e-003, 
9299775, 9.964750e-001, -3.750369e-003, 
9899760, 9.961909e-001, -5.362832e-003, 
10499745, 9.984240e-001, -6.652173e-003, 
11099730, 9.990188e-001, -6.677384e-003, 
11699715, 9.991193e-001, -7.024882e-003, 
12299700, 9.992210e-001, -7.089917e-003, 
12899685, 9.990764e-001, -7.453416e-003, 
13499670, 9.987585e-001, -8.541835e-003, 
14099655, 9.977220e-001, -9.107370e-003, 
14699640, 9.980153e-001, -9.162299e-003, 
15299625, 9.986969e-001, -9.337082e-003, 
15899610, 9.988246e-001, -9.805096e-003, 
16499595, 9.990427e-001, -1.012260e-002, 
17099580, 9.993286e-001, -1.051003e-002, 
17699565, 9.989414e-001, -1.100162e-002, 
18299550, 9.983260e-001, -1.114465e-002, 
18899535, 9.983903e-001, -1.192355e-002, 
19499520, 9.986961e-001, -1.250458e-002, 
20099505, 9.991150e-001, -1.262910e-002, 
20699490, 9.989606e-001, -1.289426e-002, 
21299475, 9.987220e-001, -1.340961e-002, 
21899460, 9.991166e-001, -1.382695e-002, 
22499445, 9.990506e-001, -1.450347e-002, 
23099430, 9.984190e-001, -1.564566e-002, 
23699415, 9.986742e-001, -1.579150e-002, 
24299400, 9.990897e-001, -1.606530e-002, 
24899385, 9.985655e-001, -1.610860e-002, 
25499370, 9.985569e-001, -1.643753e-002, 
26099355, 9.988338e-001, -1.711511e-002, 
26699340, 9.989560e-001, -1.766730e-002, 
27299325, 9.991551e-001, -1.792466e-002, 
27899310, 9.993016e-001, -1.827479e-002, 
28499295, 9.997663e-001, -1.858483e-002, 
29099280, 1.000070e+000, -1.850029e-002, 
29699265, 9.995785e-001, -1.913122e-002, 
30299250, 9.989154e-001, -2.012344e-002, 
30899235, 9.984924e-001, -2.005093e-002, 
31499220, 9.991456e-001, -1.997069e-002, 
32099205, 9.998858e-001, -2.016979e-002, 
32699190, 9.985208e-001, -2.060920e-002, 
33299175, 9.979553e-001, -2.149486e-002, 
33899160, 1.000404e+000, -2.164889e-002, 
34499145, 1.000431e+000, -2.186328e-002, 
35099130, 9.987754e-001, -2.261511e-002, 
35699115, 9.987654e-001, -2.276171e-002, 
36299100, 9.992791e-001, -2.268276e-002, 
36899085, 9.991503e-001, -2.293523e-002, 
37499070, 9.991005e-001, -2.321456e-002, 
38099055, 9.991255e-001, -2.359885e-002, 
38699040, 9.997427e-001, -2.436792e-002, 
39299025, 9.998161e-001, -2.512455e-002, 
39899010, 9.989511e-001, -2.508194e-002, 
40498995, 9.982526e-001, -2.487116e-002, 
41098980, 9.984643e-001, -2.636684e-002, 
41698965, 9.982102e-001, -2.655603e-002, 
42298950, 9.982507e-001, -2.705894e-002, 
42898935, 9.997196e-001, -2.582090e-002, 
43498920, 1.000417e+000, -2.575258e-002, 
44098905, 1.000038e+000, -2.700939e-002, 
44698890, 9.996315e-001, -2.835240e-002, 
45298875, 9.995471e-001, -2.961141e-002, 
45898860, 9.996268e-001, -2.874970e-002, 
46498845, 9.992992e-001, -2.831941e-002, 
47098830, 9.985977e-001, -2.907345e-002, 
47698815, 9.992225e-001, -2.993916e-002, 
48298800, 9.999073e-001, -3.070137e-002, 
48898785, 9.997692e-001, -3.200814e-002, 
49498770, 9.992810e-001, -3.262874e-002, 
50098755, 9.988182e-001, -3.234509e-002, 
50698740, 9.987698e-001, -3.244632e-002, 
51298725, 9.988982e-001, -3.217954e-002, 
51898710, 9.997309e-001, -3.308525e-002, 
52498695, 1.000303e+000, -3.399891e-002, 
53098680, 9.999371e-001, -3.420436e-002, 
53698665, 9.992428e-001, -3.400661e-002, 
54298650, 9.990479e-001, -3.376690e-002, 
54898635, 9.989842e-001, -3.506218e-002, 
55498620, 9.995217e-001, -3.541704e-002, 
56098605, 1.000003e+000, -3.538454e-002, 
56698590, 9.993305e-001, -3.581739e-002, 
57298575, 9.988666e-001, -3.596446e-002, 
57898560, 9.998182e-001, -3.717897e-002, 
58498545, 1.000147e+000, -3.799376e-002, 
59098530, 9.999572e-001, -3.830532e-002, 
59698515, 9.997886e-001, -3.848483e-002, 
60298500, 9.995779e-001, -3.857428e-002, 
60898485, 9.985549e-001, -3.913718e-002, 
61498470, 9.992077e-001, -3.967559e-002, 
62098455, 1.000374e+000, -3.985610e-002, 
62698440, 9.999430e-001, -4.026386e-002, 
63298425, 9.994530e-001, -4.088729e-002, 
63898410, 9.996774e-001, -4.122921e-002, 
64498395, 9.995090e-001, -4.156087e-002, 
65098380, 9.989794e-001, -4.171699e-002, 
65698365, 9.993937e-001, -4.226150e-002, 
66298350, 9.998834e-001, -4.281630e-002, 
66898335, 9.999359e-001, -4.313041e-002, 
67498320, 1.000571e+000, -4.410561e-002, 
68098305, 1.000927e+000, -4.497542e-002, 
68698290, 1.000338e+000, -4.479208e-002, 
69298275, 9.996267e-001, -4.450235e-002, 
69898260, 1.000414e+000, -4.506172e-002, 
70498245, 1.000222e+000, -4.548031e-002, 
71098230, 9.993705e-001, -4.687326e-002, 
71698215, 9.993871e-001, -4.785229e-002, 
72298200, 9.993959e-001, -4.762646e-002, 
72898185, 9.996207e-001, -4.717123e-002, 
73498170, 1.000100e+000, -4.714854e-002, 
74098155, 1.000322e+000, -4.697280e-002, 
74698140, 9.997466e-001, -4.765102e-002, 
75298125, 9.993451e-001, -4.865218e-002, 
75898110, 9.998600e-001, -4.958180e-002, 
76498095, 9.993109e-001, -4.924191e-002, 
77098080, 9.981786e-001, -4.834244e-002, 
77698065, 9.986933e-001, -4.993328e-002, 
78298050, 9.996632e-001, -5.175941e-002, 
78898035, 9.997199e-001, -5.102612e-002, 
79498020, 9.998292e-001, -5.111077e-002, 
80098005, 1.000012e+000, -5.107969e-002, 
80697990, 1.000435e+000, -5.028302e-002, 
81297975, 1.000811e+000, -5.017817e-002, 
81897960, 1.000142e+000, -4.998996e-002, 
82497945, 9.998001e-001, -5.066608e-002, 
83097930, 1.000353e+000, -5.303762e-002, 
83697915, 9.995142e-001, -5.311474e-002, 
84297900, 9.985265e-001, -5.227800e-002, 
84897885, 9.994030e-001, -5.289892e-002, 
85497870, 1.000301e+000, -5.371438e-002, 
86097855, 1.000609e+000, -5.387012e-002, 
86697840, 1.000096e+000, -5.427137e-002, 
87297825, 9.995931e-001, -5.531051e-002, 
87897810, 9.992055e-001, -5.566785e-002, 
88497795, 9.996790e-001, -5.556897e-002, 
89097780, 1.000460e+000, -5.544664e-002, 
89697765, 1.001260e+000, -5.584767e-002, 
90297750, 1.000892e+000, -5.585486e-002, 
90897735, 9.985980e-001, -5.722131e-002, 
91497720, 9.984455e-001, -5.839340e-002, 
92097705, 9.994007e-001, -5.838296e-002, 
92697690, 9.996899e-001, -5.802079e-002, 
93297675, 9.998145e-001, -5.752261e-002, 
93897660, 9.997226e-001, -5.798074e-002, 
